SoldTo,Name,ADRC,ST2,Sales Organization,Distribution Channel,Division,Partner Function,Partner counter,Partner,Name,Partner Description,Default Partner,ADRC,ST2
1004582,ZZA B C SPLY 443 AVENEL,87648,443,1210,0,40,PY,1,5002047,A B C SPLY BELOIT,,X,76274,
1004582,ZZA B C SPLY 443 AVENEL,87648,443,1210,0,40,SH,3,1020119,A B C SPLY 462 WHITE SETTLEMENT,,,89900,462
1004582,ZZA B C SPLY 443 AVENEL,87648,443,1210,0,40,SH,5,3224129,J/SYRACUSE UNIVERSITY/BRADCO ABC,,,84243,
1004582,ZZA B C SPLY 443 AVENEL,87648,443,1210,0,40,SH,6,3225064,J/MANLEY FIELD HOUSE/ABC,,,84570,
1004582,ZZA B C SPLY 443 AVENEL,87648,443,1210,0,40,SH,7,3225364,J/I C SCHOOL/BRADCO,,,84668,
1004582,ZZA B C SPLY 443 AVENEL,87648,443,1210,0,40,SH,8,3024527,ZZINTEGRITY ROOFING,,,114170,
1004582,ZZA B C SPLY 443 AVENEL,87648,443,1210,0,40,SP,0,1004582,ZZA B C SPLY 443 AVENEL,,,87648,443
1004582,ZZA B C SPLY 443 AVENEL,87648,443,1210,0,70,BP,0,6004275,A B C SPLY BELOIT,,,75986,
1004582,ZZA B C SPLY 443 AVENEL,87648,443,1210,0,70,PY,1,5002047,A B C SPLY BELOIT,,X,76274,
1004582,ZZA B C SPLY 443 AVENEL,87648,443,1210,0,70,SH,0,1004582,ZZA B C SPLY 443 AVENEL,,,87648,443
1004582,ZZA B C SPLY 443 AVENEL,87648,443,1210,0,70,SH,1,3547930,A B C SPLY 443 AVENEL,,,545885,443
1004582,ZZA B C SPLY 443 AVENEL,87648,443,1210,0,70,SH,2,3180888,J/MARRIOTT GLENPOINT/BRADCO,,,189131,
1004582,ZZA B C SPLY 443 AVENEL,87648,443,1210,0,70,SH,4,3184134,J/VERIZON /BRADCO,,,191259,
1004582,ZZA B C SPLY 443 AVENEL,87648,443,1210,0,70,SH,5,3077882,J/COLGATE PALMOLIVE FAC/BRADCO,,,157175,
1004582,ZZA B C SPLY 443 AVENEL,87648,443,1210,0,70,SH,8,3125822,J/PRINCETON UNIV/BRADCO,3125822,,145280,
1004582,ZZA B C SPLY 443 AVENEL,87648,443,1210,0,70,SH,10,3187112,J/BISHOP BOARDMAN APTS,,,176975,
1004582,ZZA B C SPLY 443 AVENEL,87648,443,1210,0,70,SH,11,3188674,J/RADISSON HOTEL/BRADCO,,,178861,
